Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
Central Hudson,Sun Masters Corp.,CH-09080,Catskill,Elka Pk,12427,2385,Lawrenceville,No,,13,,,,,,,,,,,,,,NM,No,15/08/2003,22/08/2003,5,22/08/2003,,, ,,,, ,,,,,,,,,,20/10/2003,21/10/2003,Yes,
Central Hudson,Sunstruck Design,CH-09689,Kingston,Kerhonkson,12446,3082,Kerhonkson,No,,2.5,,,,,,,,,,,,,,NM,No,26/09/2003,23/10/2003,18,23/10/2003,,, ,,,, ,,,,,,,,,,23/04/2004,23/04/2004,Yes,
Central Hudson,Hudson Solar,CH-01698,Kingston,Kingston,12401,1011,Boulevard,No,CH-01698,3,,,,,,,,,,,,,,NM,No,02/10/2003,06/10/2003,2,06/10/2003,,, ,,,, ,,,,,,,,,,24/11/2003,19/12/2003,Yes,
Central Hudson,Hudson Solar,CH-01591,Kingston,Cementon,12414,3002,Saugerties,No,,3.5,,,,,,,,,,,,,,NM,No,05/11/2003,06/11/2003,1,06/11/2003,,, ,,,, ,,,,,,,,,,31/12/2003,31/12/2003,Yes,
Central Hudson,ETM Solar Works,CH-01124,Fishkill,Cold Spring,10516,8063,Merritt Park,No,,2.5,,,,,,,,,,,,,,NM,No,06/11/2003,06/11/2003,0,06/11/2003,,, ,,,, ,,,,,,,,,,05/02/2004,09/02/2004,Yes,
Central Hudson,Hudson Solar,CH-01880,Poughkeepsie,Ancramdale,12503,7092,Pulvers Corners,No,,3.5,,,,,,,,,,,,,,NM,No,18/11/2003,18/11/2003,0,18/11/2003,,, ,,,, ,,,,,,,,,,31/12/2003,31/12/2003,Yes,
Central Hudson,Global Resource Options,CH-01147,Fishkill,Holmes,12531,8071,Shenandoah,No,CH-01147,6.9,,,,,,,,,,,,,,NM,No,18/02/2004,19/02/2004,1,19/02/2004,,, ,,,, ,,,,,,,,,,29/04/2004,29/04/2004,Yes,
Central Hudson,Hudson Solar,CH-01668,Kingston,Ulster Pk,12487,1023,East Kingston,No,,3.5,,,,,,,,,,,,,,NM,No,23/02/2004,24/02/2004,1,24/02/2004,,, ,,,, ,,,,,,,,,,29/04/2004,29/04/2004,Yes,
Central Hudson,Hudson Solar,CH-01889,Poughkeepsie,Pine Plns,12567,7091,Pulvers Corners,No,,3.5,,,,,,,,,,,,,,NM,No,23/02/2004,24/02/2004,1,24/02/2004,,, ,,,, ,,,,,,,,,,27/04/2004,27/04/2004,Yes,
Central Hudson,Hudson Solar,CH-01837,Poughkeepsie,Rhinebeck,12572,7053,Rhinebeck,No,,3.5,,,,,,,,,,,,,,NM,No,08/03/2004,09/03/2004,1,09/03/2004,,, ,,,, ,,,,,,,,,,02/04/2004,02/04/2004,Yes,
Central Hudson,Hudson Solar,CH-01891,Poughkeepsie,Pine Plns,12567,7091,Pulvers Corners,No,,2.5,,,,,,,,,,,,,,NM,No,08/03/2004,09/03/2004,1,09/03/2004,,, ,,,, ,,,,,,,,,,23/04/2004,23/04/2004,Yes,
Central Hudson,Great Brook Enterprises,CH-01152,Newburgh,W Park,12493,5084,Highland,No,,5,,,,,,,,,,,,,,NM,No,19/03/2004,22/03/2004,1,22/03/2004,,, ,,,, ,,,,,,,,,,29/10/2004,29/10/2004,Yes,
Central Hudson,Hudson Solar,CH-01291,Kingston,Kingston,12401,1022,East Kingston,No,,13.2,,,,,,,,,,,,,,NM,No,08/04/2004,08/04/2004,0,08/04/2004,,, ,,,, ,,,,,,,,,,08/09/2004,08/09/2004,Yes,
Central Hudson,Hudson Solar,CH-01343,Fishkill,Hopewell Jct,12533,8096,Fishkill Plains,No,,14,,,,,,,,,,,,,,NM,No,08/04/2004,08/04/2004,0,08/04/2004,,, ,,,, ,,,,,,,,,,20/05/2004,20/05/2004,Yes,
Central Hudson,Hudson Solar,CH-01485,Poughkeepsie,Poughkeepsie,12601,6003,Reynolds Hill,No,,12.6,,,,,,,,,,,,,,NM,No,08/04/2004,08/04/2004,0,08/04/2004,,, ,,,, ,,,,,,,,,,31/05/2006,09/06/2006,Yes,
Central Hudson,Hudson Solar,CH-01565,Poughkeepsie,Poughkeepsie,12601,6003,Reynolds Hill,No,,12.6,,,,,,,,,,,,,,NM,No,08/04/2004,08/04/2004,0,08/04/2004,,, ,,,, ,,,,,,,,,,31/05/2006,09/06/2006,Yes,
Central Hudson,Hudson Solar,CH-01740,Poughkeepsie,Rhinebeck,12572,7053,Rhinebeck,No,,2.5,,,,,,,,,,,,,,NM,No,30/03/2004,30/03/2004,0,30/03/2004,,, ,,,, ,,,,,,,,,,07/05/2004,07/05/2004,Yes,
Central Hudson,Solar Works,CH-09045,Newburgh,Highland,12528,5082,Highland,No,,2.5,,,,,,,,,,,,,,NM,No,08/04/2004,08/04/2004,0,08/04/2004,,, ,,,, ,,,,,,,,,,13/09/2004,04/10/2004,Yes,
Central Hudson,Sunstruck Design,CH-09683,Poughkeepsie,Millerton,12546,7081,Millerton,No,,2.5,,,,,,,,,,,,,,NM,No,27/04/2004,27/04/2004,0,27/04/2004,,, ,,,, ,,,,,,,,,,15/07/2004,15/07/2004,Yes,
Central Hudson,Hudson Solar,CH-01885,Poughkeepsie,Millerton,12546,7092,Pulvers Corners,No,CH-01885,7.5,,,,,,,,,,,,,,NM,No,28/05/2004,07/06/2004,5,07/06/2004,,, ,,,, ,,,,,,,,,,28/07/2004,28/07/2004,Yes,
Central Hudson,Hudson Solar,CH-01908,Newburgh,Highland,12528,5084,Highland,No,,2.5,,,,,,,,,,,,,,NM,No,01/06/2004,07/06/2004,4,07/06/2004,,, ,,,, ,,,,,,,,,,18/08/2004,18/08/2004,Yes,
Central Hudson,Global Resource Options,CH-01146,Newburgh,Wallkill,12589,5043,East Walden,No,CH-01146,2.5,,,,,,,,,,,,,,NM,No,02/06/2004,07/06/2004,3,07/06/2004,,, ,,,, ,,,,,,,,,,02/07/2004,02/07/2004,Yes,
Central Hudson,Prime Energy Solutions,CH-02932,Kingston,Saugerties,12477,3003,Saugerties,No,,6.8,,,,,,,,,,,,,,NM,No,02/06/2004,07/06/2004,3,07/06/2004,,, ,,,, ,,,,,,,,,,24/11/2004,24/11/2004,Yes,
Central Hudson,Hudson Solar,CH-01770,Poughkeepsie,Rhinebeck,12572,7052,Rhinebeck,Yes,CH-01770,5,,,,,,,,,,,,,,NM,No,07/06/2004,07/06/2004,0,07/06/2004,,, ,,,, ,,,,,,,,,,19/07/2004,19/07/2004,Yes,
Central Hudson,Hudson Solar,CH-01845,Poughkeepsie,Rhinebeck,12572,7053,Rhinebeck,No,,7,,,,,,,,,,,,,,NM,No,01/07/2004,01/07/2004,0,01/07/2004,,, ,,,, ,,,,,,,,,,14/09/2004,14/09/2004,Yes,
Central Hudson,Solar Works,CH-09040,Poughkeepsie,Poughkeepsie,12603,6045,Spackenkill,No,,2.5,,,,,,,,,,,,,,NM,No,01/07/2004,01/07/2004,0,01/07/2004,,, ,,,, ,,,,,,,,,,14/09/2004,20/12/2004,Yes,
Central Hudson,NPCP LLC,CH-02795,Newburgh,New Paltz,12561,5031,Galeville,No,,7.5,,,,,,,,,,,,,,NM,No,30/06/2004,30/06/2004,0,30/06/2004,,, ,,,, ,,,,,,,,,,07/07/2004,08/07/2004,Yes,
Central Hudson,Hudson Solar,CH-01899,Poughkeepsie,Stanfordvl,12581,7091,Pulvers Corners,No,,5,,,,,,,,,,,,,,NM,No,19/07/2004,20/07/2004,1,20/07/2004,,, ,,,, ,,,,,,,,,,03/09/2004,07/09/2004,Yes,
Central Hudson,Solar Works,CH-09044,Poughkeepsie,Poughkeepsie,12601,6004,Reynolds Hill,No,,2.5,,,,,,,,,,,,,,NM,No,06/08/2004,06/08/2004,0,06/08/2004,,, ,,,, ,,,,,,,,,,31/05/2005,31/05/2005,Yes,
Central Hudson,Hudson Solar,CH-01673,Kingston,New Paltz,12561,3022,High Falls,No,,2.7,,,,,,,,,,,,,,NM,No,12/08/2004,12/08/2004,0,12/08/2004,,, ,,,, ,,,,,,,,,,14/12/2004,20/12/2004,Yes,
Central Hudson,Hudson Solar,CH-01949,Newburgh,Gardiner,12561,5011,Modena,No,CH-01949,3.6,,,,,,,,,,,,,,NM,No,11/08/2004,13/08/2004,2,13/08/2004,,, ,,,, ,,,,,,,,,,24/09/2004,24/09/2004,Yes,
Central Hudson,Prime Energy Solutions,CH-02936,Newburgh,Cornwall,12518,4093,Bethlehem Rd,No,,2.5,,,,,,,,,,,,,,NM,No,12/08/2004,17/08/2004,3,17/08/2004,,, ,,,, ,,,,,,,,,,29/10/2004,11/11/2004,Yes,
Central Hudson,Hudson Solar,CH-01775,Poughkeepsie,Millbrook,12545,7025,Tinkertown,No,,12.5,,,,,,,,,,,,,,NM,No,09/09/2004,10/09/2004,1,10/09/2004,,, ,,,, ,,,,,,,,,,10/12/2004,10/12/2004,Yes,
Central Hudson,Hudson Solar,CH-01226,Kingston,Kerhonkson,12446,3071,Honk Falls,No,,3.5,,,,,,,,,,,,,,NM,No,10/09/2004,15/09/2004,3,15/09/2004,,, ,,,, ,,,,,,,,,,02/12/2004,06/12/2004,Yes,
Central Hudson,SunWize Technologies Inc,CH-09696,Kingston,Kingston,12401,1021,East Kingston,No,,12.4,,,,,,,,,,,,,,NM,No,02/12/2004,02/12/2004,0,02/12/2004,,, ,,,, ,,,,,,,,,,08/12/2005,13/12/2005,Yes,
Central Hudson,Hudson Solar,CH-01996,Newburgh,New Windsor,12553,4091,Bethlehem Rd,No,,14.4,,,,,,,,,,,,,,NM,No,06/12/2004,06/12/2004,0,06/12/2004,,, ,,,, ,,,,,,,,,,13/01/2005,14/01/2005,Yes,
Central Hudson,Self,CH-08876,Kingston,Saugerties,12477,2015,Lincoln Park,No,,,,20,,,,,,,,,,,,NM,No,09/10/2005,14/10/2005,4,14/10/2005,,, ,,,, ,,,,,,,,,,27/12/2005,06/01/2006,Yes,
Central Hudson,Hudson Solar,CH-01334,Poughkeepsie,Millerton,12546,7081,Millerton,No,,3.6,,,,,,,,,,,,,,NM,No,07/12/2004,07/12/2004,0,07/12/2004,,, ,,,, ,,,,,,,,,,14/05/2005,16/05/2005,Yes,
Central Hudson,Hudson Solar,CH-01327,Poughkeepsie,Red Hook,12571,7091,Pulvers Corners,No,CH-01327,3.6,,,,,,,,,,,,,,NM,No,21/12/2004,21/12/2004,0,21/12/2004,,, ,,,, ,,,,,,,,,,23/03/2005,23/03/2005,Yes,
Central Hudson,Renewable Power Systems,CH-02968,Kingston,High Fls,12440,3022,High Falls,No,,2.88,,,,,,,,,,,,,,NM,No,27/12/2004,27/12/2004,0,27/12/2004,,, ,,,, ,,,,,,,,,,17/01/2005,17/01/2005,Yes,
Central Hudson,Hudson Solar,CH-01864,Poughkeepsie,Tivoli,12583,7062,Milan,No,,12,,,,,,,,,,,,,,NM,No,11/01/2005,11/01/2005,0,11/01/2005,,, ,,,, ,,,,,,,,,,20/04/2005,22/04/2005,Yes,
Central Hudson,Randolph Horner,CH-02954,Kingston,Woodstock,12498,3012,Woodstock,No,,15,,,,,,,,,,,,,,NM,No,12/01/2005,13/01/2005,1,13/01/2005,,, ,,,, ,,,,,,,,,,01/08/2005,03/08/2005,Yes,
Central Hudson,Hudson Solar,CH-02110,Poughkeepsie,Wappingrs Fls,12590,6052,Todd Hill,No,,6,,,,,,,,,,,,,,NM,No,09/02/2005,10/02/2005,1,10/02/2005,,, ,,,, ,,,,,,,,,,05/05/2005,10/05/2005,Yes,
Central Hudson,Hudson Solar,CH-01317,Poughkeepsie,Rhinebeck,12572,7055,Rhinebeck,No,,5.4,,,,,,,,,,,,,,NM,No,14/02/2005,17/02/2005,3,17/02/2005,,, ,,,, ,,,,,,,,,,30/03/2005,31/03/2005,Yes,
Central Hudson,Hudson Solar,CH-01580,Newburgh,Gardiner,12525,5031,Galeville,No,CH-01580,3.5,,,,,,,,,,,,,,NM,No,14/02/2005,16/02/2005,2,16/02/2005,,, ,,,, ,,,,,,,,,,02/06/2005,03/06/2005,Yes,
