Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
O&R,SolarCity,DGINT-00021,CENTRAL,Monroe,10950,84-1-13,Hunt,NO,0,10.2,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,16/06/2016,,,,,,,,,,,,,,,,,18/07/2016,18/07/2016,Yes,NO
O&R,SolarCity,DGINT-00022,EAST,Piermont,10968,50-2-13,Sparkill,NO,0,13.6,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,23/05/2016,,,,,,,,,,,,,,,,,29/06/2016,29/06/2016,Yes,NO
O&R,SolarCity,DGINT-00023,CENTRAL,Harriman,10926,71-2-13,Harriman,NO,0,9.2,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,23/05/2016,,,,,,,,,,,,,,,,,01/08/2016,01/08/2016,Yes,NO
O&R,SolarCity,DGINT-00024,EAST,Haverstraw,10927,27-4-13,West Haverstraw,NO,0,5,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,03/06/2016,,,,,,,,,,,,,,,,,28/09/2016,28/09/2016,Yes,NO
O&R,SolarCity,DGINT-00025,WEST,Middletown,10941,15-3-13,East Wallkill,NO,0,6,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,23/05/2016,,,,,,,,,,,,,,,,,28/09/2016,28/09/2016,Yes,NO
O&R,SolarCity,DGINT-00026,CENTRAL,Monroe,10950,61-10-13,Monroe,NO,0,5,,,,,,,,,,,,,,NM,NO,09/05/2016,23/05/2016,10,23/05/2016,,,,,,,,,,,,,,,,,18/07/2016,18/07/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00027,EAST,Congers,10920,22-4-13,Congers,NO,0,12.43,,,,,,,,,,,,,,NM,NO,10/05/2016,24/05/2016,10,24/05/2016,,,,,,,,,,,,,,,,,25/07/2016,25/07/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00028,CENTRAL,Central Valley,10917,71-3-13,Harriman,NO,0,8.83,,,,,,,,,,,,,,NM,NO,10/05/2016,24/05/2016,10,22/06/2016,,,,,,,,,,,,,,,,,26/07/2016,26/07/2016,Yes,NO
O&R,SolarCity,DGINT-00029,EAST,Blauvelt,10913,54-1-13,Orangeburg,NO,0,6,,,,,,,,,,,,,,NM,NO,10/05/2016,24/05/2016,10,24/05/2016,,,,,,,,,,,,,,,,,27/07/2016,27/07/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00030,CENTRAL,Monroe,10950,61-10-13,Monroe,NO,0,10.46,,,,,,,,,,,,,,NM,NO,10/05/2016,24/05/2016,10,24/05/2016,,,,,,,,,,,,,,,,,14/07/2016,14/07/2016,Yes,NO
O&R,SolarCity,DGINT-00032,EAST,Thiells,10984,27-2-13,West Haverstraw,NO,0,9.2,,,,,,,,,,,,,,NM,NO,10/05/2016,24/05/2016,10,24/05/2016,,,,,,,,,,,,,,,,,05/07/2016,05/07/2016,Yes,NO
O&R,SolarCity,DGINT-00033,WEST,Otisville,10963, 7-2-13,Otisville,NO,0,8.6,,,,,,,,,,,,,,NM,NO,11/05/2016,24/05/2016,9,24/05/2016,,,,,,,,,,,,,,,,,29/06/2016,29/06/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00035,CENTRAL,Warwick,10990,80-4-13,Wisner,NO,0,7.19,,,,,,,,,,,,,,NM,NO,12/05/2016,24/05/2016,8,24/05/2016,,,,,,,,,,,,,,,,,27/07/2016,27/07/2016,Yes,NO
O&R,SolarCity,DGINT-00036,CENTRAL,Warwick,10990,80-2-13,Wisner,NO,0,7.6,,,,,,,,,,,,,,NM,NO,12/05/2016,25/05/2016,9,25/05/2016,,,,,,,,,,,,,,,,,01/02/2017,01/02/2017,Yes,NO
O&R,SolarCity,DGINT-00037,EAST,Bardonia,10954,53-3-13,Nanuet,NO,0,15.2,,,,,,,,,,,,,,NM,NO,12/05/2016,26/05/2016,10,26/05/2016,,,,,,,,,,,,,,,,,03/10/2016,03/10/2016,Yes,NO
O&R,SolarCity,DGINT-00038,EAST,Stony Point,10980,23-1-13,Stony Point,NO,0,6,,,,,,,,,,,,,,NM,NO,12/05/2016,26/05/2016,10,26/05/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00039,EAST,Stony Point,10980,23-1-13,Stony Point,NO,0,11.84,,,,,,,,,,,,,,NM,NO,13/05/2016,26/05/2016,9,26/05/2016,,,,,,,,,,,,,,,,,01/09/2016,01/09/2016,Yes,NO
O&R,SolarCity,DGINT-00040,CENTRAL,Washingtonville,10992,76-3-13,Blooming Grove,NO,0,3.6,,,,,,,,,,,,,,NM,NO,13/05/2016,26/05/2016,9,13/06/2016,,,,,,,,,,,,,,,,,20/07/2016,20/07/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00041,EAST,Sloatsburg,10974,42-1-13,Sloatsburg,NO,0,10.46,,,,,,,,,,,,,,NM,NO,16/05/2016,26/05/2016,8,22/06/2016,,,,,,,,,,,,,,,,,27/07/2016,27/07/2016,Yes,NO
O&R,SolarCity,DGINT-00042,CENTRAL,Warwick,10990,80-5-13,Wisner,NO,0,6,,,,,,,,,,,,,,NM,NO,16/05/2016,27/05/2016,9,27/05/2016,,,,,,,,,,,,,,,,,18/08/2016,18/08/2016,Yes,NO
O&R,SolarCity,DGINT-00043,CENTRAL,Washingtonville,10992,76-3-13,Blooming Grove,NO,0,7.6,,,,,,,,,,,,,,NM,NO,17/05/2016,27/05/2016,8,22/06/2016,,,,,,,,,,,,,,,,,24/08/2016,24/08/2016,Yes,NO
O&R,SolarCity,DGINT-00044,CENTRAL,Central Valley,10917,71-3-13,Harriman,NO,0,6,,,,,,,,,,,,,,NM,NO,17/05/2016,27/05/2016,8,27/05/2016,,,,,,,,,,,,,,,,,05/07/2016,05/07/2016,Yes,NO
O&R,SolarCity,DGINT-00045,WEST,Middletown,10941,15-3-13,East Wallkill,NO,0,3,,,,,,,,,,,,,,NM,NO,17/05/2016,27/05/2016,8,27/05/2016,,,,,,,,,,,,,,,,,24/08/2016,24/08/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00046,WEST,Westtown,10998,103-2-13,Westtown,NO,0,7.04,,,,,,,,,,,,,,NM,NO,17/05/2016,31/05/2016,9,31/05/2016,,,,,,,,,,,,,,,,,14/07/2016,14/07/2016,Yes,NO
O&R,Other,DGINT-00048,EAST,New City,10956,16M3-11-13,Little Tor,NO,0,10.56,,,,,,,,,,,,,,NM,NO,17/05/2016,01/06/2016,10,22/06/2016,,,,,,,,,,,,,,,,,19/08/2016,19/08/2016,Yes,NO
O&R,Other,DGINT-00049,EAST,Spring Valley,10977,45-5-13,New Hempstead,NO,0,5,,,,,,,,,,,,,,NM,NO,17/05/2016,01/06/2016,10,01/06/2016,,,,,,,,,,,,,,,,,20/07/2016,20/07/2016,Yes,NO
O&R,Other,DGINT-00051,EAST,Monsey,10952,44-3-13,Monsey,NO,0,12,,,,,,,,,,,,,,NM,NO,17/05/2016,01/06/2016,10,01/06/2016,,,,,,,,,,,,,,,,,20/07/2016,20/07/2016,Yes,NO
O&R,Infinity Solar,DGINT-00052,EAST,Spring Valley,10977,19-11-13,Burns,NO,0,14.72,,,,,,,,,,,,,,NM,NO,18/05/2016,02/06/2016,10,02/06/2016,,,,,,,,,,,,,,,,,01/09/2016,01/09/2016,Yes,NO
O&R,Sunpower by Infinity Solar,DGINT-00054,EAST,Garnerville,10923,27-1-13,West Haverstraw,NO,0,3.2,,,,,,,,,,,,,,NM,NO,19/05/2016,03/06/2016,10,03/06/2016,,,,,,,,,,,,,,,,,04/01/2017,04/01/2017,Yes,NO
O&R,Other,DGINT-00055,EAST,Upper Nyack,10960,24-11-13,Snake Hill Road,NO,0,5,,,,,,,,,,,,,,NM,NO,19/05/2016,03/06/2016,10,03/06/2016,,,,,,,,,,,,,,,,,11/10/2016,11/10/2016,Yes,NO
O&R,Other,DGINT-00056,EAST,Valley Cottage,10989,22-6-13,Congers,NO,0,6.6,,,,,,,,,,,,,,NM,NO,19/05/2016,03/06/2016,10,03/06/2016,,,,,,,,,,,,,,,,,04/08/2016,04/08/2016,Yes,NO
O&R,Other,DGINT-00057,WEST,Middletown,10940,109-1-13,Washington Heights,NO,0,6,,,,,,,,,,,,,,NM,NO,19/05/2016,03/06/2016,10,05/07/2016,,,,,,,,,,,,,,,,,19/07/2016,19/07/2016,Yes,NO
O&R,Other,DGINT-00058,EAST,Blauvelt,10913,54-6-13,Orangeburg,NO,0,6,,,,,,,,,,,,,,NM,NO,19/05/2016,03/06/2016,10,03/06/2016,,,,,,,,,,,,,,,,,24/08/2016,24/08/2016,Yes,NO
O&R,Other,DGINT-00059,EAST,New City,10956,19-12-13,Burns,NO,0,8.32,,,,,,,,,,,,,,NM,NO,20/05/2016,03/06/2016,9,03/06/2016,,,,,,,,,,,,,,,,,06/07/2016,06/07/2016,Yes,NO
O&R,Other,DGINT-00060,CENTRAL,Warwick,10990,80-5-13,Wisner,NO,0,12,,,,,,,,,,,,,,NM,NO,20/05/2016,03/06/2016,9,03/06/2016,,,,,,,,,,,,,,,,,20/07/2016,20/07/2016,Yes,NO
O&R,Other,DGINT-00062,EAST,Garnerville,10923,27-1-13,West Haverstraw,NO,0,6.8,,,,,,,,,,,,,,NM,NO,23/05/2016,06/06/2016,9,06/06/2016,,,,,,,,,,,,,,,,,09/09/2016,09/09/2016,Yes,NO
O&R,Other,DGINT-00063,CENTRAL,Warwick,10990,80-1-13,Wisner,NO,0,5,,,,,,,,,,,,,,NM,NO,23/05/2016,06/06/2016,9,06/06/2016,,,,,,,,,,,,,,,,,13/07/2016,13/07/2016,Yes,NO
O&R,Other,DGINT-00065,WEST,Middletown,10940,113-2-13,Silver Lake,NO,0,3,,,,,,,,,,,,,,NM,NO,23/05/2016,06/06/2016,9,12/07/2016,,,,,,,,,,,,,,,,,16/08/2016,16/08/2016,Yes,NO
