Company,Developer,Application / Job #,Division,City/Town,Zip Code,Circuit ID,Substation,"Hybrid
(Y/N)",Related Application/Job #,"PV
(kWAC)","ESS
(kWAC)","WIND
(kWAC)","MT
(kWAC)","SG
(kWAC)","IG
(kWAC)","FW
(kWAC)","FC
(kWAC)","CHP
(kWAC)","GT
(kWAC)","HYDRO
(kWAC)","ICE
(kWAC)","ST
(kWAC)","OTHER
(kWAC)","Metering
(NA / NM / RNM / CDG)","Value Stack
(Y/N)",Start Date,End Date,Calculated Duration,"Application Approved Date 
(Utility)",Start Date (Must Match Application Approved Date),End Date,Calculated Duration,Payment Received Date,Start Date,End Date,Calculated Duration,CESIR cost to customer,CESIR cost to utility,Estimated Costs by Utility,Actual Customer Project Costs,Actual Utility Project Costs,Down Payment Date,Full Payment Date,Construction Start Date,Construction Complete Date,Verification Testing or Final Acceptance Date,Final Letter of Acceptance Date,Project Complete (Y/N),Utility Retention of REC (Y/N)
NYSEG,,329,Plattsburgh,Cadyville,12918,1502574,NYS-HIGH FALLS 474,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/12/2001,Y,N
NYSEG,,331,Ithaca,Spencer,14883,4301301,NYS-SPENCER 712,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,30/05/2003,Y,N
NYSEG,,332,Ithaca,East Freetown,13101,8104402,NYS-WILLET 421,N,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,17/05/2002,Y,N
NYSEG,Solar Liberty Energy Systems,333,Ithaca,Ithaca,14850,4301101,NYS-BROOKTONDALE 531,N,,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,26/08/2013,03/09/2013,6,03/09/2013,03/09/2013,10/09/2013,6,,,,,,,,,,,,,,14/05/2014,15/05/2014,Y,N
NYSEG,,334,Elmira,Lansing,14882,4303101,NYS-NORTH LANSING 522,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/01/2002,Y,N
NYSEG,,335,Binghamton,Vestal,13850,8101401,NYS-VESTAL 623,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,16/11/2001,Y,N
NYSEG,,339,Liberty,Livingston manor,12758,2401514,NYS-HAZEL 353,N,,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,02/05/2002,Y,N
NYSEG,,340,Ithaca,Ithaca,14850,4300201,NYS-EAST ITHACA 406,N,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,341,Brewster,Carmel,10512,1105724,NYS-CRAFTS 424,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,08/02/2002,Y,N
NYSEG,,342,Ithaca,Ithaca,14850,4302203,NYS-SOUTH HILL 613,N,,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,06/02/2002,Y,N
NYSEG,,345,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,13/02/2003,Y,N
NYSEG,,348,Brewster,Putnam Valley,10579,1105113,NYS-ADAMS CORNERS 413,N,,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,24/04/2002,Y,N
NYSEG,,349,Ithaca,Ithaca,14850,4301502,NYS-WEST HILL 610,N,,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,12/02/2003,Y,N
NYSEG,,351,Ithaca,ITHACA,14850,4301502,NYS-WEST HILL 610,N,,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,07/05/2015,Y,N
NYSEG,,352,Mechanicville ,Hillsdale,12529,1203502,NYS-MELLONVILLE 151,N,,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,27/05/2009,Y,N
NYSEG,,355,Ithaca,Trumansburg,14886,4303401,NYS-BURDETT MECK 508,N,,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,28/08/2002,Y,N
NYSEG,,356,Oneonta,Morrisville,13408,2305066,NYS-MORRISVILLE 266,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,14/10/2002,Y,N
NYSEG,,357,Ithaca,Ithaca,14850,4301101,NYS-BROOKTONDALE 531,Y,,2.4,0,1.8,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,18/08/2006,Y,N
NYSEG,,359,Brewster,South Salem,10590,1105691,NYS-KENT CLIFFS 291,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
NYSEG,,362,Ithaca,Brooktondale,14817,4301101,NYS-BROOKTONDALE 531,N,,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,,,,,,,,,,,,,,,,,,,,,,,,Y,N
