tractid,NAME,state,year,pop,whiteshare,blackshare,poc,majpoc,per_highschool,per_bachelors,medinc,incabovemedian,area,popdens,urbanshare,p
40143002700,"Census Tract 27, Tulsa County, Oklahoma",OK,2019,2965,0.711973018549747,0.12209106239460371,0.28802698145025296,0,0.5905564924114671,0.16795952782462056,43956,1,1.447,2274.3607463718035,1,960153616
40143002700,"Census Tract 27, Tulsa County, Oklahoma",OK,2019,2965,0.711973018549747,0.12209106239460371,0.28802698145025296,0,0.5905564924114671,0.16795952782462056,43956,1,1.447,2274.3607463718035,1,960153615
40143003200,"Census Tract 32, Tulsa County, Oklahoma",OK,2019,1620,0.8333333333333334,0.008641975308641974,0.16666666666666663,0,0.7098765432098766,0.4839506172839506,76458,1,0.527,2867.1726755218215,1,959833614
40143003700,"Census Tract 37, Tulsa County, Oklahoma",OK,2019,2572,0.8444790046656299,0.02177293934681182,0.15552099533437014,0,0.750388802488336,0.35653188180404355,61394,1,0.999,2677.677677677678,1,959253614
40143004400,"Census Tract 44, Tulsa County, Oklahoma",OK,2019,2084,0.8498080614203455,0.026871401151631478,0.15019193857965452,0,0.777831094049904,0.48896353166986567,59955,1,0.522,5191.570881226054,1,959833611
40143004600,"Census Tract 46, Tulsa County, Oklahoma",OK,2019,3194,0.5037570444583594,0.2595491546649969,0.49624295554164055,0,0.5144020037570445,0.117407639323732,20638,0,0.504,6115.079365079365,1,960033613
40143006200,"Census Tract 62, Tulsa County, Oklahoma",OK,2019,2642,0.11468584405753217,0.6756245268735807,0.8853141559424679,1,0.5185465556396669,0.04844814534443603,23591,0,1.771,1570.29926595144,1,959743619
40143006200,"Census Tract 62, Tulsa County, Oklahoma",OK,2019,2642,0.11468584405753217,0.6756245268735807,0.8853141559424679,1,0.5185465556396669,0.04844814534443603,23591,0,1.771,1570.29926595144,1,959763620
40143007000,"Census Tract 70, Tulsa County, Oklahoma",OK,2019,2998,0.6691127418278853,0.157104736490994,0.33088725817211473,0,0.576050700466978,0.18345563709139426,39663,1,0.997,2985.9578736208628,1,959133611
41003001002,"Census Tract 10.02, Benton County, Oregon",OR,2019,3235,0.8395672333848532,0.002472952086553323,0.16043276661514683,0,0.6095826893353942,0.4170015455950541,65976,1,0.639,4943.661971830986,1,123264458
41005020800,"Census Tract 208, Clackamas County, Oregon",OR,2019,4143,0.8916244267439054,0.0065170166545981175,0.10837557325609459,0,0.7209751387883176,0.36422881969587256,51952,1,1.538,2593.628088426528,1,122634544
41005021000,"Census Tract 210, Clackamas County, Oregon",OR,2019,4891,0.8347986096912697,0.00531588632181558,0.16520139030873027,0,0.7235739112655899,0.2459619709670824,74912,1,0.95,4746.315789473684,1,122614546
41005022400,"Census Tract 224, Clackamas County, Oregon",OR,2019,3999,0.8754688672168042,0.026506626656664166,0.12453113278319583,0,0.7106776694173543,0.2315578894723681,60664,1,1.13,3511.5044247787614,1,122604535
41005022400,"Census Tract 224, Clackamas County, Oregon",OR,2019,3999,0.8754688672168042,0.026506626656664166,0.12453113278319583,0,0.7106776694173543,0.2315578894723681,60664,1,1.13,3511.5044247787614,1,122614535
41029000100,"Census Tract 1, Jackson County, Oregon",OR,2019,2027,0.9023186975826344,0.003946719289590528,0.09768130241736561,0,0.41489886531820425,0.05525407005426739,25760,0,1.002,1778.443113772455,1,122874232
41029000100,"Census Tract 1, Jackson County, Oregon",OR,2019,2027,0.9023186975826344,0.003946719289590528,0.09768130241736561,0,0.41489886531820425,0.05525407005426739,25760,0,1.002,1778.443113772455,1,122874234
41029000201,"Census Tract 2.01, Jackson County, Oregon",OR,2019,4087,0.8522143381453389,0.010031808172253487,0.14778566185466113,0,0.5062392953266455,0.05382921458282359,31216,1,0.511,7213.307240704501,1,122884233
41029000201,"Census Tract 2.01, Jackson County, Oregon",OR,2019,4087,0.8522143381453389,0.010031808172253487,0.14778566185466113,0,0.5062392953266455,0.05382921458282359,31216,1,0.511,7213.307240704501,1,122884232
41029000203,"Census Tract 2.03, Jackson County, Oregon",OR,2019,3880,0.8935567010309279,0.01211340206185567,0.10644329896907212,0,0.5724226804123711,0.08530927835051547,45754,1,0.548,7218.978102189781,1,122874231
41029001601,"Census Tract 16.01, Jackson County, Oregon",OR,2019,5051,0.8687388635913681,0,0.1312611364086319,0,0.5818649772322313,0.0946347257968719,36739,1,1.649,2206.7919951485746,1,122804226
41029002000,"Census Tract 20, Jackson County, Oregon",OR,2019,1972,0.9726166328600405,0,0.02738336713995948,0,0.8427991886409736,0.5410750507099391,43150,1,0.432,4574.074074074074,1,122704219
41033360701,"Census Tract 3607.01, Josephine County, Oregon",OR,2019,4414,0.9347530584503851,0.00792931581332125,0.06524694154961486,0,0.6057997281377435,0.0792931581332125,40512,1,1.31,3242.748091603053,1,123324243
41039001903,"Census Tract 19.03, Lane County, Oregon",OR,2019,3219,0.9173656415035726,0,0.08263435849642742,0,0.5573159366262814,0.045666356011183594,57674,1,1.31,2247.328244274809,1,122934405
41039001904,"Census Tract 19.04, Lane County, Oregon",OR,2019,5591,0.7741012341262744,0.0051869075299588625,0.2258987658737256,0,0.5916651761759971,0.09247004113754248,43343,1,1.017,4873.156342182891,1,122934404
41039002302,"Census Tract 23.02, Lane County, Oregon",OR,2019,4625,0.8642162162162162,0.016864864864864864,0.13578378378378375,0,0.6674594594594595,0.1909189189189189,69174,1,1.774,2540.586245772266,1,123124411
41039002404,"Census Tract 24.04, Lane County, Oregon",OR,2019,4058,0.8553474618038442,0,0.14465253819615576,0,0.6481025135534746,0.19418432725480533,64028,1,0.817,4883.720930232558,1,123134409
41039003000,"Census Tract 30, Lane County, Oregon",OR,2019,4542,0.9189784236019375,0.019815059445178335,0.08102157639806251,0,0.7318361955085865,0.4112725671510348,62754,1,1.714,2487.164527421237,1,123074406
